step,price,density
200,25.093356637954713,0.04000000000000039
200,26.48896159172058,0.6399999999999998
200,27.88456654548645,0.3199999999999999
200,29.28017149925232,0.0
200,30.67577645301819,0.0
200,32.07138140678406,0.0
200,33.46698636054993,0.0
200,34.8625913143158,0.0
200,36.25819626808167,0.0
200,37.65380122184754,0.0
200,39.049406175613406,0.0
200,40.445011129379274,0.0
200,41.84061608314514,0.0
200,43.23622103691101,0.0
200,44.63182599067688,0.0
200,46.02743094444275,0.0
200,47.423035898208624,0.0
200,48.81864085197449,0.0
200,50.21424580574036,0.0
200,51.60985075950623,0.0
200,53.0054557132721,0.0
200,54.40106066703797,0.0
200,55.796665620803836,0.0
200,57.192270574569704,0.0
200,58.58787552833557,0.0
200,59.98348048210144,0.0
200,61.37908543586731,0.0
200,62.77469038963318,0.0
200,64.17029534339906,0.0
200,65.56590029716492,0.0
200,66.9615052509308,0.0
200,68.35711020469665,0.0
200,69.75271515846254,0.0
200,71.14832011222839,0.0
200,72.54392506599427,0.0
200,73.93953001976013,0.0
200,75.33513497352601,0.0
200,76.73073992729186,0.0
200,78.12634488105775,0.0
200,79.5219498348236,0.0
200,80.91755478858948,0.0
200,82.31315974235534,0.27999999999999947
200,83.70876469612122,0.6399999999999998
200,85.10436964988709,0.08000000000000078
200,86.49997460365296,0.0
200,87.89557955741884,0.0
200,89.2911845111847,0.4800000000000047
200,90.68678946495058,0.5199999999999954
200,92.08239441871643,0.0
200,93.47799937248232,0.0
200,94.87360432624817,0.0
200,96.26920928001405,0.0
200,97.66481423377991,0.0
200,99.06041918754579,0.0
200,100.45602414131164,0.0
200,101.85162909507753,0.0
200,103.24723404884338,0.0
200,104.64283900260926,0.0
200,106.03844395637512,0.0
200,107.434048910141,0.0
200,108.82965386390686,0.0
200,110.22525881767274,0.0
200,111.6208637714386,0.0
200,113.01646872520448,0.0
200,114.41207367897034,0.0
200,115.80767863273621,0.0
200,117.2032835865021,0.0
200,118.59888854026795,0.0
200,119.99449349403383,0.0
200,121.39009844779969,0.0
200,122.78570340156557,0.0
200,124.18130835533142,0.0
200,125.5769133090973,0.12000000000000444
200,126.97251826286316,0.6399999999999998
200,128.36812321662904,0.23999999999999583
200,129.76372817039493,0.0
200,131.15933312416075,0.0
200,132.55493807792664,0.0
200,133.95054303169252,0.0
200,135.3461479854584,0.0
200,136.74175293922423,0.0
200,138.1373578929901,0.0
200,139.532962846756,0.0
200,140.92856780052188,0.0
200,142.32417275428773,0.0
200,143.71977770805358,0.0
200,145.11538266181947,0.0
200,146.51098761558535,0.0
200,147.9065925693512,1.0800000000000203
200,149.30219752311706,1.9199999999999797

300,11.13730710029602,0.0
300,12.532912054061889,0.0
300,13.92851700782776,0.0
300,15.32412196159363,0.0
300,16.719726915359498,0.0
300,18.115331869125367,0.0
300,19.51093682289124,0.0
300,20.906541776657107,0.0
300,22.302146730422976,0.0
300,23.697751684188844,0.0
300,25.093356637954713,0.0
300,26.48896159172058,0.0
300,27.88456654548645,0.0
